"AA","Int","Probibility","P_value","delabel"
"AA","I2_P","0.0233950277930487","0.0767869406556582",NA
"AA","I3_P","0.00255496137849079","0.351792341941678",NA
"AA","I2_A","-0.00564971751412429","0.481485028299196",NA
"AA","I3_A","-0.00564971751412429","0.481485028299196",NA
"AA","I1","0.0142586066684738","0.117729995718086",NA
"AA","I4","0.00840336134453781","0.355488395185172",NA
"AA","I5","0.00854700854700855","0.35512393064915",NA
"AA","I6","0.00203393459294546","0.356607875833799",NA
"AC","I2_P","0","0.495770649975813",NA
"AC","I3_P","0","0.486113054319451",NA
"AC","I2_A","0","0.481485028299196",NA
"AC","I3_A","0","0.481485028299196",NA
"AC","I1","0","0.462906945763132",NA
"AC","I4","0.0168067226890756","0.132745666556487",NA
"AC","I5","0","0.473498574198843",NA
"AC","I6","0","0.467485954874578",NA
"AD","I2_P","0","0.495770649975813",NA
"AD","I3_P","0","0.486113054319451",NA
"AD","I2_A","0","0.481485028299196",NA
"AD","I3_A","0","0.481485028299196",NA
"AD","I1","0","0.462906945763132",NA
"AD","I4","0.0168067226890756","0.132745666556487",NA
"AD","I5","0","0.473498574198843",NA
"AD","I6","0","0.467485954874578",NA
"AE","I2_P","0","0.495770649975813",NA
"AE","I3_P","0.0363636363636364","0.00525748941237656","AE"
"AE","I2_A","0.00985415845486795","0.128329687294627",NA
"AE","I3_A","0","0.481485028299196",NA
"AE","I1","0","0.462906945763132",NA
"AE","I4","-0.00412240367845251","0.193073793380595",NA
"AE","I5","0","0.473498574198843",NA
"AE","I6","0.00840336134453781","0.356607875833799",NA
"AF","I2_P","0","0.495770649975813",NA
"AF","I3_P","0","0.486113054319451",NA
"AF","I2_A","0.0176060964393641","0.030867178572758",NA
"AF","I3_A","0","0.481485028299196",NA
"AF","I1","0","0.462906945763132",NA
"AF","I4","0","0.471992995287863",NA
"AF","I5","-0.00636942675159236","0.473498574198843",NA
"AF","I6","0","0.467485954874578",NA
"AG","I2_P","0","0.495770649975813",NA
"AG","I3_P","0","0.486113054319451",NA
"AG","I2_A","0","0.481485028299196",NA
"AG","I3_A","0","0.481485028299196",NA
"AG","I1","0","0.462906945763132",NA
"AG","I4","0","0.471992995287863",NA
"AG","I5","0","0.473498574198843",NA
"AG","I6","0","0.467485954874578",NA
"AH","I2_P","0.0186915887850467","0.121689549688926",NA
"AH","I3_P","0","0.486113054319451",NA
"AH","I2_A","0","0.481485028299196",NA
"AH","I3_A","0","0.481485028299196",NA
"AH","I1","-0.0129032258064516","0.213210301859674",NA
"AH","I4","0","0.471992995287863",NA
"AH","I5","0","0.473498574198843",NA
"AH","I6","-0.00636942675159236","0.467485954874578",NA
"AI","I2_P","-0.0261437908496732","0.0587418503617683",NA
"AI","I3_P","0.00510992275698158","0.247344408155952",NA
"AI","I2_A","-0.0282485875706215","0.0248095159167142","AI"
"AI","I3_A","-0.0169491525423729","0.110230472188548",NA
"AI","I1","0","0.462906945763132",NA
"AI","I4","0","0.471992995287863",NA
"AI","I5","-0.00636942675159236","0.473498574198843",NA
"AI","I6","0.0168067226890756","0.134870927398678",NA
"AK","I2_P","0","0.495770649975813",NA
"AK","I3_P","-0.00796197266785502","0.234406024139227",NA
"AK","I2_A","-0.0112994350282486","0.23086437412386",NA
"AK","I3_A","0.00985415845486795","0.128329687294627",NA
"AK","I1","0","0.462906945763132",NA
"AK","I4","0","0.471992995287863",NA
"AK","I5","0","0.473498574198843",NA
"AK","I6","0","0.467485954874578",NA
"AL","I2_P","0.0112393867204203","0.157450322273922",NA
"AL","I3_P","-0.073321449792038","0.00158338416111678","AL"
"AL","I2_A","0.00420444094074366","0.248949064198108",NA
"AL","I3_A","-0.00144527657338063","0.270529957903886",NA
"AL","I1","0","0.462906945763132",NA
"AL","I4","0.0168067226890756","0.132745666556487",NA
"AL","I5","-0.0105612717077685","0.238479691718813",NA
"AL","I6","0.00813573837178183","0.172011487139223",NA
"AM","I2_P","-0.0130718954248366","0.244652840758543",NA
"AM","I3_P","0","0.486113054319451",NA
"AM","I2_A","0","0.481485028299196",NA
"AM","I3_A","-0.00564971751412429","0.481485028299196",NA
"AM","I1","0","0.462906945763132",NA
"AM","I4","0.0168067226890756","0.132745666556487",NA
"AM","I5","0.00217758179541619","0.35512393064915",NA
"AM","I6","0.00840336134453781","0.356607875833799",NA
"AN","I2_P","0","0.495770649975813",NA
"AN","I3_P","0","0.486113054319451",NA
"AN","I2_A","0","0.481485028299196",NA
"AN","I3_A","-0.00564971751412429","0.481485028299196",NA
"AN","I1","0.0168067226890756","0.137041223908032",NA
"AN","I4","0","0.471992995287863",NA
"AN","I5","0","0.473498574198843",NA
"AN","I6","0","0.467485954874578",NA
"AP","I2_P","0","0.495770649975813",NA
"AP","I3_P","0","0.486113054319451",NA
"AP","I2_A","0","0.481485028299196",NA
"AP","I3_A","0","0.481485028299196",NA
"AP","I1","0","0.462906945763132",NA
"AP","I4","0","0.471992995287863",NA
"AP","I5","0","0.473498574198843",NA
"AP","I6","0","0.467485954874578",NA
"AQ","I2_P","0","0.495770649975813",NA
"AQ","I3_P","0","0.486113054319451",NA
"AQ","I2_A","0","0.481485028299196",NA
"AQ","I3_A","0","0.481485028299196",NA
"AQ","I1","-0.0129032258064516","0.213210301859674",NA
"AQ","I4","0.0168067226890756","0.132745666556487",NA
"AQ","I5","0","0.473498574198843",NA
"AQ","I6","0","0.467485954874578",NA
"AR","I2_P","0.00561969336021013","0.243397440452922",NA
"AR","I3_P","0","0.486113054319451",NA
"AR","I2_A","0","0.481485028299196",NA
"AR","I3_A","-0.00564971751412429","0.481485028299196",NA
"AR","I1","-0.0129032258064516","0.213210301859674",NA
"AR","I4","-0.0125786163522013","0.221717943927167",NA
"AR","I5","0.00854700854700855","0.35512393064915",NA
"AR","I6","0","0.467485954874578",NA
"AS","I2_P","0","0.495770649975813",NA
"AS","I3_P","0","0.486113054319451",NA
"AS","I2_A","0.0155038759689922","0.128329687294627",NA
