"AA","Int","Probibility","P_value","delabel"
"AA","I2_P","-0.0148109653111602","0.0864220430369095",NA
"AA","I3_P","0.0384681362037911","0.00934699028438103","AA"
"AA","I2_A","0.00381263616557734","0.24469261603306",NA
"AA","I3_A","0.00381263616557734","0.24469261603306",NA
"AA","I1","0","0.265828908731312",NA
"AA","I4","0","0.265828908731312",NA
"AA","I5","-0.00840336134453781","0.268081696093435",NA
"AA","I6","0","0.257629827044182",NA
"AC","I2_P","0","0.248328418900775",NA
"AC","I3_P","0","0.255638395988965",NA
"AC","I2_A","0","0.240925848035997",NA
"AC","I3_A","0","0.240925848035997",NA
"AC","I1","0.00636942675159236","0.353687615854401",NA
"AC","I4","0.00636942675159236","0.353687615854401",NA
"AC","I5","0","0.268081696093435",NA
"AC","I6","0","0.257629827044182",NA
"AD","I2_P","0","0.248328418900775",NA
"AD","I3_P","0","0.255638395988965",NA
"AD","I2_A","0","0.240925848035997",NA
"AD","I3_A","0","0.240925848035997",NA
"AD","I1","0.00636942675159236","0.353687615854401",NA
"AD","I4","0.00636942675159236","0.353687615854401",NA
"AD","I5","0","0.268081696093435",NA
"AD","I6","0","0.257629827044182",NA
"AE","I2_P","0","0.248328418900775",NA
"AE","I3_P","0","0.255638395988965",NA
"AE","I2_A","-0.00925925925925926","0.240925848035997",NA
"AE","I3_A","0","0.240925848035997",NA
"AE","I1","-0.00610180377883638","0.198712810122605",NA
"AE","I4","-0.00610180377883638","0.198712810122605",NA
"AE","I5","-0.00840336134453781","0.268081696093435",NA
"AE","I6","0","0.257629827044182",NA
"AF","I2_P","0","0.248328418900775",NA
"AF","I3_P","0","0.255638395988965",NA
"AF","I2_A","-0.0212418300653595","0.0587153365649531",NA
"AF","I3_A","0.0065359477124183","0.344501446257088",NA
"AF","I1","-0.0168067226890756","0.0698726726593444",NA
"AF","I4","-0.0168067226890756","0.0698726726593444",NA
"AF","I5","0.00641025641025641","0.354413089750588",NA
"AF","I6","0","0.257629827044182",NA
"AG","I2_P","0","0.248328418900775",NA
"AG","I3_P","0","0.255638395988965",NA
"AG","I2_A","0","0.240925848035997",NA
"AG","I3_A","0","0.240925848035997",NA
"AG","I1","0","0.265828908731312",NA
"AG","I4","0","0.265828908731312",NA
"AG","I5","0","0.268081696093435",NA
"AG","I6","0","0.257629827044182",NA
"AH","I2_P","0","0.248328418900775",NA
"AH","I3_P","0","0.255638395988965",NA
"AH","I2_A","0.0065359477124183","0.344501446257088",NA
"AH","I3_A","0","0.240925848035997",NA
"AH","I1","0","0.265828908731312",NA
"AH","I4","0","0.265828908731312",NA
"AH","I5","0","0.268081696093435",NA
"AH","I6","0","0.257629827044182",NA
"AI","I2_P","0","0.248328418900775",NA
"AI","I3_P","0","0.255638395988965",NA
"AI","I2_A","0.0261437908496732","0.0403404063902969","AI"
"AI","I3_A","0","0.240925848035997",NA
"AI","I1","0.00636942675159236","0.353687615854401",NA
"AI","I4","0.00636942675159236","0.353687615854401",NA
"AI","I5","-0.00840336134453781","0.268081696093435",NA
"AI","I6","-0.00221789462295792","0.350909592008483",NA
"AK","I2_P","0","0.248328418900775",NA
"AK","I3_P","0","0.255638395988965",NA
"AK","I2_A","0.0065359477124183","0.344501446257088",NA
"AK","I3_A","0","0.240925848035997",NA
"AK","I1","-0.00840336134453781","0.265828908731312",NA
"AK","I4","-0.00840336134453781","0.265828908731312",NA
"AK","I5","0","0.268081696093435",NA
"AK","I6","0","0.257629827044182",NA
"AL","I2_P","0","0.248328418900775",NA
"AL","I3_P","0","0.255638395988965",NA
"AL","I2_A","-0.00544662309368192","0.237091552188806",NA
"AL","I3_A","0.0364923747276688","0.000508317380861821","AL"
"AL","I1","0.0127388535031847","0.233793508785089",NA
"AL","I4","0.0127388535031847","0.233793508785089",NA
"AL","I5","0.0108274078862314","0.10126209485236",NA
"AL","I6","-0.019311911716975","0.0686236550138122",NA
"AM","I2_P","0","0.248328418900775",NA
"AM","I3_P","0","0.255638395988965",NA
"AM","I2_A","0.0065359477124183","0.344501446257088",NA
