"AA","Int","Probibility","P_value","delabel"
"AA","I2_P","0.0324557863551402","0.0721514392956787",NA
"AA","I3_P","-0.0153111609090909","0.10514546325179",NA
"AA","I2_A","-0.00717409","0.251655976682804",NA
"AA","I3_A","-0.00717409","0.251655976682804",NA
"AA","I1","0.0178253653781513","0.124445806114959",NA
"AA","I4","-0.00738471865546218","0.21940872249873",NA
"AA","I5","0.00137291854700855","0.339938202286805",NA
"AA","I6","0.00122927134453782","0.341138515628913",NA
"AC","I2_P","-0.000994326666666667","0.318416203635429",NA
"AC","I3_P","-0.000981578888888889","0.312224741126222",NA
"AC","I2_A","-0.000631015","0.251655976682804",NA
"AC","I3_A","-0.000631015","0.251655976682804",NA
"AC","I1","-0.00112180444444444","0.302404435669018",NA
"AC","I4","0.0156849182446312","0.216629072832588",NA
"AC","I5","-0.000631015","0.229530922911602",NA
"AC","I6","-0.000631015","0.232203527444892",NA
"AD","I2_P","-0.00608608","0.318416203635429",NA
"AD","I3_P","-0.00600805333333333","0.312224741126222",NA
"AD","I2_A","-0.00386232","0.251655976682804",NA
"AD","I3_A","-0.00386232","0.251655976682804",NA
"AD","I1","-0.00686634666666667","0.302404435669018",NA
"AD","I4","0.00994037602240896","0.216629072832588",NA
"AD","I5","-0.00386232","0.229530922911602",NA
"AD","I6","-0.00386232","0.232203527444892",NA
"AE","I2_P","-0.0185518666666667","0.100142214464091",NA
"AE","I3_P","0.0180496141414141","0.118886193535668",NA
"AE","I2_A","0.00373057596899225","0.243439268374391",NA
"AE","I3_A","-0.0117733","0.0623931070591316",NA
"AE","I1","-0.0209303111111111","0.0903447680877103",NA
"AE","I4","0.0126831342670401","0.124445806114959",NA
"AE","I5","-0.0117733","0.229530922911602",NA
"AE","I6","-0.00336993865546219","0.341138515628913",NA
"AF","I2_P","-0.00385718666666667","0.318416203635429",NA
"AF","I3_P","-0.00380773555555556","0.312224741126222",NA
"AF","I2_A","0.0208079839534884","0.109347926946049",NA
"AF","I3_A","-0.00244783","0.251655976682804",NA
"AF","I1","-0.00435169777777778","0.302404435669018",NA
"AF","I4","-0.00435169777777778","0.302404435669018",NA
"AF","I5","-0.00244783","0.229530922911602",NA
"AF","I6","-0.00244783","0.232203527444892",NA
"AG","I2_P","-0.00210877333333333","0.318416203635429",NA
"AG","I3_P","-0.00208173777777778","0.312224741126222",NA
"AG","I2_A","-0.00133826","0.251655976682804",NA
"AG","I3_A","-0.00133826","0.251655976682804",NA
"AG","I1","-0.00237912888888889","0.302404435669018",NA
"AG","I4","-0.00237912888888889","0.302404435669018",NA
"AG","I5","-0.00133826","0.229530922911602",NA
"AG","I6","-0.00133826","0.232203527444892",NA
"AH","I2_P","0.0155818154517134","0.208780008187824",NA
"AH","I3_P","-0.00306990444444444","0.312224741126222",NA
