"AA","Int","Probibility","P_value","delabel"
"AA","I2_P","-0.0064877094972067","0.106364829666645",NA
"AA","I3_P","-0.000430337078651685","0.107013395701196",NA
"AA","I2_A","0.0058978054248366","0.214396837703212",NA
"AA","I3_A","0.0058978054248366","0.214396837703212",NA
"AA","I1","-0.00717409","0.33228610889228",NA
"AA","I4","-0.00717409","0.33228610889228",NA
"AA","I5","-0.00717409","0.305343622898658",NA
"AA","I6","-0.00717409","0.311593148602419",NA
"AC","I2_P","0","0.366849446280793",NA
"AC","I3_P","0","0.368910398226179",NA
"AC","I2_A","-0.000631015","0.306826434143391",NA
"AC","I3_A","-0.000631015","0.306826434143391",NA
"AC","I1","0.00510739675159236","0.367386754197858",NA
"AC","I4","0.00510739675159236","0.367386754197858",NA
"AC","I5","-0.000631015","0.305343622898658",NA
"AC","I6","-0.000631015","0.311593148602419",NA
"AD","I2_P","0","0.366849446280793",NA
"AD","I3_P","0","0.368910398226179",NA
"AD","I2_A","-0.00386232","0.306826434143391",NA
"AD","I3_A","-0.00386232","0.306826434143391",NA
"AD","I1","-0.00135521324840764","0.367386754197858",NA
"AD","I4","-0.00135521324840764","0.367386754197858",NA
"AD","I5","-0.00386232","0.305343622898658",NA
"AD","I6","-0.00386232","0.311593148602419",NA
"AE","I2_P","0","0.366849446280793",NA
"AE","I3_P","0","0.368910398226179",NA
"AE","I2_A","-0.0117733","0.0932808410514669",NA
"AE","I3_A","-0.0117733","0.0932808410514669",NA
"AE","I1","-0.00443831974522293","0.175350104748109",NA
"AE","I4","-0.00443831974522293","0.175350104748109",NA
"AE","I5","-0.0117733","0.0923910051067115",NA
"AE","I6","-0.0117733","0.0962521898820062",NA
"AF","I2_P","0","0.366849446280793",NA
"AF","I3_P","0","0.368910398226179",NA
"AF","I2_A","0.0040881177124183","0.363910421891001",NA
"AF","I3_A","0.0040881177124183","0.363910421891001",NA
"AF","I1","-0.00489566","0.33228610889228",NA
"AF","I4","-0.00489566","0.33228610889228",NA
"AF","I5","0.00396242641025641","0.363615306657901",NA
"AF","I6","-0.00244783","0.311593148602419",NA
"AG","I2_P","0","0.366849446280793",NA
"AG","I3_P","0","0.368910398226179",NA
"AG","I2_A","-0.00133826","0.306826434143391",NA
"AG","I3_A","-0.00133826","0.306826434143391",NA
"AG","I1","-0.00267652","0.33228610889228",NA
"AG","I4","-0.00267652","0.33228610889228",NA
"AG","I5","-0.00133826","0.305343622898658",NA
"AG","I6","-0.00133826","0.311593148602419",NA
"AH","I2_P","0","0.366849446280793",NA
"AH","I3_P","0","0.368910398226179",NA
"AH","I2_A","0.0045624377124183","0.363910421891001",NA
"AH","I3_A","-0.00197351","0.306826434143391",NA
"AH","I1","-0.00394702","0.33228610889228",NA
"AH","I4","-0.00394702","0.33228610889228",NA
"AH","I5","-0.00197351","0.305343622898658",NA
"AH","I6","-0.00197351","0.311593148602419",NA
"AI","I2_P","0","0.366849446280793",NA
"AI","I3_P","0","0.368910398226179",NA
"AI","I2_A","0.0205451208496732","0.0243178914226819","AI"
"AI","I3_A","-0.00559867","0.306826434143391",NA
"AI","I1","-0.00482791324840764","0.243979501880885",NA
"AI","I4","-0.00482791324840764","0.243979501880885",NA
"AI","I5","-0.00559867","0.305343622898658",NA
"AI","I6","0.000730443924050633","0.364679388734674",NA
"AK","I2_P","0","0.366849446280793",NA
"AK","I3_P","0","0.368910398226179",NA
"AK","I2_A","0.000225797712418301","0.363910421891001",NA
"AK","I3_A","-0.00631015","0.306826434143391",NA
"AK","I1","-0.0126203","0.109557674411467",NA
"AK","I4","-0.0126203","0.109557674411467",NA
"AK","I5","-0.00631015","0.305343622898658",NA
"AK","I6","-0.00631015","0.311593148602419",NA
"AL","I2_P","0","0.366849446280793",NA
"AL","I3_P","0","0.368910398226179",NA
"AL","I2_A","-0.000564804575163398","0.264811918883417",NA
"AL","I3_A","0.0321149339869281","0.00718572582586806","AL"
"AL","I1","-0.0145345464968153","0.117937086580587",NA
"AL","I4","-0.0145345464968153","0.117937086580587",NA
"AL","I5","0.00559406923076923","0.208792737694363",NA
"AL","I6","-0.00730758607594937","0.226982776139656",NA
