,AA,Int,CCplus_APCC_asAPCC,CCplus_PCC_asAPCC,CCplus_APCC_asPCC,CCplus_PCC_asPCC
1,AA,I2_P,0.056074766,0.032679739,0.093023256,0.078212291
2,AA,I3_P,0.009090909,0.006535948,0.045801527,0.084269663
3,AA,I2_A,0,0.005649718,0.009259259,0.013071895
4,AA,I3_A,0,0.005649718,0.009259259,0.013071895
5,AA,I1,0.033613445,0.019354839,0,0
6,AA,I4,0.008403361,0,0,0
7,AA,I5,0.008547009,0,0.008403361,0
8,AA,I6,0.008403361,0.006369427,0,0
9,AC,I2_P,0,0,0,0
10,AC,I3_P,0,0,0,0
11,AC,I2_A,0,0,0,0
12,AC,I3_A,0,0,0,0
13,AC,I1,0,0,0,0.006369427
14,AC,I4,0.016806723,0,0,0.006369427
15,AC,I5,0,0,0,0
16,AC,I6,0,0,0,0
17,AD,I2_P,0,0,0,0
18,AD,I3_P,0,0,0,0
19,AD,I2_A,0,0,0,0
20,AD,I3_A,0,0,0,0
21,AD,I1,0,0,0,0.006369427
22,AD,I4,0.016806723,0,0,0.006369427
23,AD,I5,0,0,0,0
24,AD,I6,0,0,0,0
25,AE,I2_P,0,0,0,0
26,AE,I3_P,0.036363636,0,0,0
27,AE,I2_A,0.015503876,0.005649718,0.009259259,0
28,AE,I3_A,0,0,0,0
29,AE,I1,0,0,0.025210084,0.01910828
30,AE,I4,0.033613445,0.037735849,0.025210084,0.01910828
31,AE,I5,0,0,0.008403361,0
32,AE,I6,0.008403361,0,0,0
33,AF,I2_P,0,0,0,0
34,AF,I3_P,0,0,0,0
35,AF,I2_A,0.023255814,0.005649718,0.027777778,0.006535948
36,AF,I3_A,0,0,0,0.006535948
37,AF,I1,0,0,0.016806723,0
38,AF,I4,0,0,0.016806723,0
39,AF,I5,0,0.006369427,0,0.006410256
40,AF,I6,0,0,0,0
41,AG,I2_P,0,0,0,0
42,AG,I3_P,0,0,0,0
43,AG,I2_A,0,0,0,0
44,AG,I3_A,0,0,0,0
45,AG,I1,0,0,0,0
46,AG,I4,0,0,0,0
47,AG,I5,0,0,0,0
48,AG,I6,0,0,0,0
49,AH,I2_P,0.018691589,0,0,0
50,AH,I3_P,0,0,0,0
51,AH,I2_A,0,0,0,0.006535948
52,AH,I3_A,0,0,0,0
