,AA,Int,CCplus_APCCvsPCC_asAPCC,CCplus_expected_asAPCC,CCplus_APCCvsPCC_asPCC,CCplus_expected_asPCC
1,AA,I2_P,0.023395028,0.032455786,-0.014810965,-0.006487709
2,AA,I3_P,0.002554961,-0.015311161,0.038468136,-0.000430337
3,AA,I2_A,-0.005649718,-0.00717409,0.003812636,0.005897805
4,AA,I3_A,-0.005649718,-0.00717409,0.003812636,0.005897805
5,AA,I1,0.014258607,0.017825365,0,-0.00717409
6,AA,I4,0.008403361,-0.007384719,0,-0.00717409
7,AA,I5,0.008547009,0.001372919,-0.008403361,-0.00717409
8,AA,I6,0.002033935,0.001229271,0,-0.00717409
9,AC,I2_P,0,-0.000994327,0,0
10,AC,I3_P,0,-0.000981579,0,0
11,AC,I2_A,0,-0.000631015,0,-0.000631015
12,AC,I3_A,0,-0.000631015,0,-0.000631015
13,AC,I1,0,-0.001121804,0.006369427,0.005107397
14,AC,I4,0.016806723,0.015684918,0.006369427,0.005107397
15,AC,I5,0,-0.000631015,0,-0.000631015
16,AC,I6,0,-0.000631015,0,-0.000631015
17,AD,I2_P,0,-0.00608608,0,0
18,AD,I3_P,0,-0.006008053,0,0
19,AD,I2_A,0,-0.00386232,0,-0.00386232
20,AD,I3_A,0,-0.00386232,0,-0.00386232
21,AD,I1,0,-0.006866347,0.006369427,-0.001355213
22,AD,I4,0.016806723,0.009940376,0.006369427,-0.001355213
23,AD,I5,0,-0.00386232,0,-0.00386232
24,AD,I6,0,-0.00386232,0,-0.00386232
25,AE,I2_P,0,-0.018551867,0,0
26,AE,I3_P,0.036363636,0.018049614,0,0
27,AE,I2_A,0.009854158,0.003730576,-0.009259259,-0.0117733
28,AE,I3_A,0,-0.0117733,0,-0.0117733
29,AE,I1,0,-0.020930311,-0.006101804,-0.00443832
30,AE,I4,-0.004122404,0.012683134,-0.006101804,-0.00443832
31,AE,I5,0,-0.0117733,-0.008403361,-0.0117733
32,AE,I6,0.008403361,-0.003369939,0,-0.0117733
33,AF,I2_P,0,-0.003857187,0,0
34,AF,I3_P,0,-0.003807736,0,0
35,AF,I2_A,0.017606096,0.020807984,-0.02124183,0.004088118
36,AF,I3_A,0,-0.00244783,0.006535948,0.004088118
37,AF,I1,0,-0.004351698,-0.016806723,-0.00489566
38,AF,I4,0,-0.004351698,-0.016806723,-0.00489566
39,AF,I5,-0.006369427,-0.00244783,0.006410256,0.003962426
40,AF,I6,0,-0.00244783,0,-0.00244783
41,AG,I2_P,0,-0.002108773,0,0
42,AG,I3_P,0,-0.002081738,0,0
43,AG,I2_A,0,-0.00133826,0,-0.00133826
44,AG,I3_A,0,-0.00133826,0,-0.00133826
45,AG,I1,0,-0.002379129,0,-0.00267652
